2026-05-13 06:56:06 | INFO | src.config | run=32f0723a | Logging configured | level=INFO file=logs\ma_rag_20260513_065606.log run_id=32f0723a
2026-05-13 06:56:06 | INFO | __main__ | run=32f0723a | Initializing workflow for single-question test...
2026-05-13 06:56:06 | INFO | __main__ | run=32f0723a | 
================================================================================
2026-05-13 06:56:06 | INFO | __main__ | run=32f0723a | Running single-question evaluation
2026-05-13 06:56:06 | INFO | __main__ | run=32f0723a | Question: A 45-year-old man with acute dengue fever presents with fever, body aches, and headache. His lab wor...
2026-05-13 06:56:06 | INFO | __main__ | run=32f0723a | ================================================================================

2026-05-13 06:56:06 | INFO | __main__ | run=32f0723a | Invoking workflow with initial state...
2026-05-13 06:57:07 | INFO | numexpr.utils | run=32f0723a | NumExpr defaulting to 12 threads.
2026-05-13 06:57:16 | INFO | src.core.registry | run=32f0723a | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 06:57:27 | INFO | src.core.registry | run=32f0723a | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 06:57:27 | INFO | src.pubmed_client | run=32f0723a | PubMed client initialized (Async)
2026-05-13 06:57:28 | INFO | src.pubmed_client | run=32f0723a | Starting search pipeline with query: "Dengue Fever" AND (thrombocytopenia OR leukopenia OR fever OR "body aches" OR headache) AND "complication"
2026-05-13 06:57:28 | INFO | src.pubmed_client | run=32f0723a | eSearch: "Dengue Fever" AND (thrombocytopenia OR leukopenia OR fever OR "body aches" OR headache) AND "complication"
2026-05-13 06:57:30 | INFO | src.pubmed_client | run=32f0723a | eSearch complete
2026-05-13 06:57:30 | INFO | src.pubmed_client | run=32f0723a | eFetch
2026-05-13 06:57:33 | INFO | src.pubmed_client | run=32f0723a | eFetch complete
2026-05-13 06:57:33 | INFO | src.pubmed_client | run=32f0723a | Filtering complete
2026-05-13 06:57:33 | INFO | src.pubmed_client | run=32f0723a | Validation complete
2026-05-13 06:57:33 | INFO | src.pubmed_client | run=32f0723a | Search metadata completeness
2026-05-13 06:57:33 | INFO | src.pubmed_client | run=32f0723a | Search pipeline complete
2026-05-13 06:57:33 | INFO | src.pubmed_client | run=32f0723a | Starting search pipeline with query: "Dengue Fever" AND (no thrombocytopenia OR normal white blood cell count OR afebrile OR "no body aches" OR "no headache") AND "complication"
2026-05-13 06:57:33 | INFO | src.pubmed_client | run=32f0723a | eSearch: "Dengue Fever" AND (no thrombocytopenia OR normal white blood cell count OR afebrile OR "no body aches" OR "no headache") AND "complication"
2026-05-13 06:57:34 | INFO | src.pubmed_client | run=32f0723a | eSearch complete
2026-05-13 06:57:34 | INFO | src.pubmed_client | run=32f0723a | eFetch
2026-05-13 06:57:35 | INFO | src.pubmed_client | run=32f0723a | eFetch complete
2026-05-13 06:57:35 | INFO | src.pubmed_client | run=32f0723a | Filtering complete
2026-05-13 06:57:35 | INFO | src.pubmed_client | run=32f0723a | Validation complete
2026-05-13 06:57:35 | INFO | src.pubmed_client | run=32f0723a | Search metadata completeness
2026-05-13 06:57:35 | INFO | src.pubmed_client | run=32f0723a | Search pipeline complete
2026-05-13 06:57:35 | INFO | src.pubmed_client | run=32f0723a | Starting search pipeline with query: "Dengue Fever" AND (thrombocytopenia OR leukopenia OR fever OR "body aches" OR headache) AND "complication" AND "uncomplicated"
