2026-05-13 15:16:28 | INFO | src.config | run=89c965b9 | Logging configured | level=INFO file=logs\ma_rag_20260513_151628.log run_id=89c965b9
2026-05-13 15:16:28 | INFO | __main__ | run=89c965b9 | Initializing workflow for single-question test...
2026-05-13 15:16:28 | INFO | __main__ | run=89c965b9 | 
================================================================================
2026-05-13 15:16:28 | INFO | __main__ | run=89c965b9 | Running single-question evaluation
2026-05-13 15:16:28 | INFO | __main__ | run=89c965b9 | Question: Two weeks after undergoing an emergency cardiac catherization with stenting for unstable angina pect...
2026-05-13 15:16:28 | INFO | __main__ | run=89c965b9 | ================================================================================

2026-05-13 15:16:28 | INFO | __main__ | run=89c965b9 | Invoking workflow with initial state...
2026-05-13 15:17:00 | INFO | numexpr.utils | run=89c965b9 | NumExpr defaulting to 12 threads.
2026-05-13 15:17:04 | INFO | src.core.registry | run=89c965b9 | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 15:17:09 | ERROR | src.nodes.pico_extraction | run=89c965b9 | PICO extraction node failed: 'PICO' object has no attribute 'get'
2026-05-13 15:17:09 | INFO | src.core.registry | run=89c965b9 | LLM selected | backend=vertex role=fast model=gemini-2.5-flash-lite temp=0.00 json=True
2026-05-13 15:17:09 | INFO | src.pubmed_client | run=89c965b9 | PubMed client initialized (Async)
2026-05-13 15:17:11 | INFO | src.pubmed_client | run=89c965b9 | Starting search pipeline with query: "Intervention is supported" AND (cardiac catheterization OR stenting OR aspirin OR clopidogrel) AND (acute kidney injury OR elevated creatinine OR decreased urinary output OR reticulated purplish disc
2026-05-13 15:17:11 | INFO | src.pubmed_client | run=89c965b9 | eSearch: "Intervention is supported" AND (cardiac catheterization OR stenting OR aspirin OR clopidogrel) AND (acute kidney injury OR elevated creatinine OR decreased urinary output OR reticulated purplish disc
2026-05-13 15:17:12 | INFO | src.pubmed_client | run=89c965b9 | eSearch complete
2026-05-13 15:17:12 | INFO | src.pubmed_client | run=89c965b9 | eFetch
2026-05-13 15:17:15 | INFO | src.pubmed_client | run=89c965b9 | eFetch complete
2026-05-13 15:17:15 | INFO | src.pubmed_client | run=89c965b9 | Filtering complete
2026-05-13 15:17:15 | INFO | src.pubmed_client | run=89c965b9 | Validation complete
2026-05-13 15:17:15 | INFO | src.pubmed_client | run=89c965b9 | Search metadata completeness
2026-05-13 15:17:15 | INFO | src.pubmed_client | run=89c965b9 | Search pipeline complete
2026-05-13 15:17:15 | INFO | src.pubmed_client | run=89c965b9 | Starting search pipeline with query: "Intervention is supported" AND (no complications OR normal renal function OR absence of rash OR normal eosinophils)
2026-05-13 15:17:15 | INFO | src.pubmed_client | run=89c965b9 | eSearch: "Intervention is supported" AND (no complications OR normal renal function OR absence of rash OR normal eosinophils)
2026-05-13 15:17:17 | INFO | src.pubmed_client | run=89c965b9 | eSearch complete
2026-05-13 15:17:17 | INFO | src.pubmed_client | run=89c965b9 | eFetch
